date,time,district,lat,lon,civ.race,civ.gender,civ.age,civ.injured,force_id,officer_id,month,civilian_race_short,hour
2013-12-03,2013-12-03T04:51:00Z,6,41.750187,-87.614944,BLACK,MALE,44,1,54448,261,2013-12-01,civilian_black,4
2014-06-08,2014-06-08T20:04:00Z,10,41.85158,-87.731316,HISPANIC,FEMALE,28,0,57031,264,2014-06-01,civilian_hisp,20
2012-11-23,2012-11-23T00:08:00Z,6,41.734776,-87.6084,BLACK,FEMALE,36,0,48595,265,2012-11-01,civilian_black,0
2013-03-12,2013-03-12T01:50:00Z,6,41.751728,-87.64408,BLACK,MALE,38,0,50125,265,2013-03-01,civilian_black,1
2014-01-14,2014-01-14T22:55:00Z,6,41.731987,-87.60714,BLACK,FEMALE,41,1,54873,265,2014-01-01,civilian_black,22
2014-03-15,2014-03-15T00:52:00Z,6,41.73639,-87.622246,BLACK,FEMALE,32,0,55582,265,2014-03-01,civilian_black,0
2015-04-07,2015-04-07T11:13:00Z,4,41.75749,-87.58611,HISPANIC,MALE,24,1,61647,267,2015-04-01,civilian_hisp,11
2015-07-08,2015-07-08T18:39:00Z,15,41.88026,-87.76404,HISPANIC,FEMALE,22,0,63174,270,2015-07-01,civilian_hisp,18
2015-10-08,2015-10-08T21:48:00Z,10,41.85257,-87.72631,BLACK,MALE,26,1,64691,270,2015-10-01,civilian_black,21
2012-06-14,2012-06-14T03:59:00Z,13,NA,NA,BLACK,MALE,22,0,45930,271,2012-06-01,civilian_black,3
2013-10-31,2013-10-31T16:14:00Z,9,41.83481,-87.648094,HISPANIC,MALE,23,1,54001,273,2013-10-01,civilian_hisp,16
2014-05-10,2014-05-10T18:00:00Z,4,41.75179,-87.562225,BLACK,MALE,23,0,56482,274,2014-05-01,civilian_black,18
2015-01-23,2015-01-23T16:25:00Z,4,41.750988,-87.55289,BLACK,MALE,47,0,60647,274,2015-01-01,civilian_black,16
2015-05-05,2015-05-05T22:01:00Z,4,41.750988,-87.55289,BLACK,MALE,43,0,62075,274,2015-05-01,civilian_black,22
2015-05-23,2015-05-23T16:17:00Z,4,41.741737,-87.56487,BLACK,MALE,18,0,62319,274,2015-05-01,civilian_black,16
2015-06-21,2015-06-21T17:38:00Z,4,41.757465,-87.55395,BLACK,MALE,31,0,62856,274,2015-06-01,civilian_black,17
2015-06-30,2015-06-30T16:00:00Z,NA,NA,NA,BLACK,MALE,32,1,63032,274,2015-06-01,civilian_black,16
2015-09-02,2015-09-02T16:50:00Z,4,NA,NA,BLACK,MALE,23,0,64087,274,2015-09-01,civilian_black,16
